seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Albert,Copeland,33,Sinun Loop,Bicsopvo,MD,93938,$6187.71,BLUE,05/28/1956
2,Aiden,Alvarado,46,Sava Manor,Jupdokdul,NJ,77192,$2023.88,GREEN,06/07/1974
3,Lydia,Guerrero,62,Lupte Extension,Pikimof,SC,90492,$3374.06,RED,10/21/1991
4,Aiden,West,58,Opola Ridge,Kighipfok,NJ,66081,$1641.34,WHITE,08/08/1971
5,Ethan,Hawkins,26,Camel Mill,Esuikiha,HI,82921,$6426.03,GREEN,06/07/1997
6,Nora,Gardner,57,Otahi Boulevard,Tapmidzij,MS,35708,$41.48,GREEN,12/03/1991
7,Christopher,Rios,49,Dodfu Terrace,Kemadzi,CT,59964,$4830.42,YELLOW,12/25/1973
8,Rosalie,Owens,41,Juusa Ridge,Bugacsa,NH,76448,$3555.84,WHITE,03/03/1980
9,Alex,Ryan,18,Galvo Drive,Jokomcaz,KS,35058,$254.97,YELLOW,12/14/2054
10,Lettie,Higgins,23,Comi Pass,Ikbahcac,FL,56644,$1063.00,YELLOW,05/16/1923
11,Brian,Cobb,52,Hebuf Manor,Ehupahi,CT,66411,$7396.86,RED,08/01/1954
12,Leah,Saunders,52,Ikho Glen,Nufizutun,WV,50658,$8901.82,YELLOW,09/08/1981
13,Ella,Thompson,43,Juevo Highway,Helgazve,NE,30617,$1088.29,YELLOW,03/18/1944
14,Lester,Santos,59,Memum Lane,Vutivpez,CA,98271,$9946.26,YELLOW,03/25/1970
15,Alan,Harper,63,Soig Ridge,Arkoha,KS,72277,$3698.95,RED,04/06/1926
16,Ann,Parks,26,Hupem Square,Sizhiaw,OK,14192,$6204.53,RED,11/14/2055
17,Charles,Ballard,57,Vemi Loop,Kuorsej,CO,56240,$4295.22,RED,07/12/2067
18,Elizabeth,Holland,37,Lucet Circle,Sirlicot,NV,25442,$4762.99,BLUE,08/08/1956
19,Noah,Nelson,26,Ivez Grove,Ulajawog,DE,67014,$1342.33,GREEN,04/06/1990
20,Donald,Shaw,39,Rigap Highway,Mavimsak,NJ,14551,$5418.03,BLUE,06/02/1976
21,Marc,Jenkins,41,Kijefa Manor,Judobib,UT,09588,$7103.98,WHITE,06/17/2047
22,Eddie,Gonzalez,20,Komeb View,Zoniwwar,NM,62707,$2059.24,GREEN,10/20/2060
23,Minnie,Houston,61,Igeon Glen,Vowbenci,MO,35621,$5141.04,BLUE,07/13/2054
24,Jared,Welch,52,Zarvo Manor,Arfevi,SD,68189,$7350.30,RED,04/09/1980
25,Dustin,Rowe,53,Huma Key,Lujosber,UT,25275,$7783.53,GREEN,11/09/1917
26,Alejandro,Sherman,47,Uglu Way,Tihuddad,MN,63219,$4455.54,RED,10/15/1981
27,Ivan,Pittman,38,Hurer Key,Tarseik,FL,60465,$6904.98,BLUE,08/14/1995
28,Lela,Cohen,51,Vasdi Glen,Gigehhi,CT,15728,$3527.94,BLUE,07/24/2014
29,Flora,Kelley,48,Melar Terrace,Tiwratew,GA,55468,$4161.55,BLUE,05/27/1922
